control_label,predominant_degree_label,dominant_program,region_label,locale_label,institutions,avg_default,avg_pell,avg_completion,avg_net_price
Public,Associate's,Trades & Applied,Rocky Mountains,Rural,1,0.0,0.2286,0.2679,7697.0
Public,Associate's,Humanities,Far West,City,48,0.0,0.23997916666666666,0.3472258064516129,7393.3125
Public,Associate's,Trades & Applied,Southeast,Rural,2,0.0,0.45295,0.3093,2239.0
Public,Associate's,Trades & Applied,Southeast,Town,1,0.0,0.4724,0.2993,5189.0
Public,Bachelor's,Business,New England,Town,1,0.0,0.2563,0.4743,19685.0
Public,Bachelor's,Business,Outlying Areas,Rural,1,0.0,0.4623,0.2857,7563.0
Public,Bachelor's,Business,Outlying Areas,Suburb,1,0.0,0.7419,0.4023,14072.0
Public,Bachelor's,Business,Plains,City,2,0.0,0.3239,0.46240000000000003,18895.0
Public,Bachelor's,Business,Plains,Rural,1,0.0,0.3376,0.3772,11401.0
Public,Bachelor's,Business,Plains,Suburb,1,0.0,0.2746,0.5464,17816.0
Public,Bachelor's,Business,Plains,Town,7,0.0,0.2516,0.4694285714285714,15126.42857142857
Public,Bachelor's,Business,Rocky Mountains,City,1,0.0,0.2427,,14099.0
Public,Bachelor's,Business,Southeast,City,10,0.0,0.38242000000000004,0.47694000000000003,12646.3
Public,Bachelor's,Business,Southeast,Suburb,4,0.0,0.320975,0.35425,10166.5
Public,Bachelor's,Business,Southeast,Town,9,0.0,0.33597777777777776,0.5010125,15113.125
Public,Bachelor's,Business,Southwest,City,4,0.0,0.47019999999999995,0.28255,11647.25
Public,Bachelor's,Business,Southwest,Rural,1,0.0,0.4847,,1113.0
Public,Bachelor's,Business,Southwest,Town,2,0.0,0.38980000000000004,0.34895,8508.0
Public,Bachelor's,Education,Far West,Town,1,0.0,0.3598,0.3662,15987.0
Public,Bachelor's,Business,New England,Suburb,1,0.0,0.3336,0.5486,18561.0
Private nonprofit,Graduate,STEM,Mid East,Rural,1,0.0,,,
Public,Bachelor's,Business,New England,City,1,0.0,0.3464,0.5025,18617.0
Public,Bachelor's,Business,Far West,Suburb,3,0.0,0.40123333333333333,0.5385666666666666,9196.0
Private nonprofit,Graduate,STEM,New England,Town,2,0.0,,,
Public,Associate's,Trades & Applied,Southwest,City,2,0.0,0.3684,0.36865000000000003,8758.0
Private nonprofit,Graduate,STEM,New England,Suburb,4,0.0,,,
Public,Associate's,Trades & Applied,Southwest,Town,1,0.0,0.4005,,11588.0
Public,Bachelor's,Business,Far West,City,1,0.0,0.2292,0.0,31601.0
Public,Associate's,STEM,Plains,City,1,0.0,0.1403,,10725.0
Private nonprofit,Graduate,STEM,New England,Rural,2,0.0,,,
Public,Bachelor's,Business,Mid East,Town,2,0.0,0.3862,0.59605,16889.0
Public,Bachelor's,Business,Great Lakes,City,4,0.0,0.28625,0.558225,16135.25
Public,Bachelor's,Business,Great Lakes,Rural,3,0.0,0.25503333333333333,0.3402,14573.5
Public,Bachelor's,Business,Great Lakes,Suburb,4,0.0,0.332675,0.43977499999999997,15477.75
Public,Bachelor's,Business,Great Lakes,Town,1,0.0,0.2503,0.643,14785.0
